Beta\Latent space dimensionality,5,10,15,20
1,70.3(1.3),73.5(3.4),70.6(4.2),71.3(3.9)
2,70.1(1.9),84.6(11.1),65.8(1.3),67.1(12.6)
4,84.6(4.9),73.1(4.2),77.7(2.9),73.4(0.8)
8,76.9(1.9),73.5(0.8),66.4(6.4),60.0(0.0)
